,Ministère (Client),CODE POSTAL,P,HPH,HCH,HPE,HCE,HH (EJP),P (EJP),CP,CHPH,CHCH,CHPE,CHCE,CHH (EJP),CP (EJP),TOTAL ,Electricité 100% verte (oui/non),Département,Région
0,Cour des Comptes,76000.0,42.0,42,42,42,,,,7741.0,9460.0,32246.0,32355.0,,,,81802,OUI,SEINE-MARITIME,HAUTE-NORMANDIE
1,Cour des Comptes,21000.0,42.0,42,42,42,42.0,,,18688.0,11996.0,54319.0,32465.0,5402.0,,,122870,OUI,COTE-D'OR,BOURGOGNE
2,Cour des Comptes,77186.0,108.0,108,108,108,108.0,,,23452.0,19791.0,103308.0,85757.0,,,,232308,OUI,SEINE-ET-MARNE,ILE-DE-FRANCE
3,Cour des Comptes,75001.0,84.0,84,84,84,84.0,,,24555.0,21877.0,72889.0,52674.0,8130.0,,,180125,OUI,PARIS,ILE-DE-FRANCE
4,Cour des Comptes,34000.0,42.0,42,42,42,,,,6000.0,5747.0,24497.0,21963.0,,,,58207,OUI,HERAULT,LANGUEDOC-ROUSSILLON
5,Cour des Comptes,69350.0,42.0,42,42,42,,,,2882.0,6942.0,12292.0,22300.0,,,,44416,OUI,RHONE,RHONE-ALPES
6,Cour des Comptes,75001.0,90.0,90,90,90,,,,4866.0,4095.0,20863.0,17565.0,,,,47389,OUI,PARIS,ILE-DE-FRANCE
7,Cour des Comptes,44000.0,42.0,36,42,36,36.0,,,4882.0,3890.0,22030.0,19199.0,,,,50001,OUI,LOIRE-ATLANTIQUE,PAYS DE LA LOIRE
8,Cour des Comptes,33000.0,90.0,90,90,90,,,,32117.0,21180.0,84941.0,41164.0,,,,179402,OUI,GIRONDE,AQUITAINE
9,Cour des Comptes,31000.0,90.0,90,90,90,,,,11916.0,7871.0,40138.0,28715.0,,,,88640,OUI,HAUTE-GARONNE,MIDI-PYRENEES
10,Cour des Comptes,88000.0,78.0,78,78,78,,,,19553.0,17776.0,44070.0,39675.0,,,,121074,OUI,VOSGES,LORRAINE
19,Cour des Comptes,35000.0,61.0,61,61,61,61.0,,,16442.0,17381.0,38959.0,36131.0,7517.0,,,116430,OUI,ILLE-ET-VILAINE,BRETAGNE
20,Cour des Comptes,62000.0,144.0,144,144,144,144.0,,,13298.0,10148.0,46130.0,37823.0,,,,107399,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
22,Cour des Comptes,13008.0,168.0,168,168,168,,,,26120.0,37683.0,95859.0,122251.0,,,,281913,OUI,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR
23,Ministère de l'agriculture de l'alimentation et de la forêt,31320.0,160.0,160,160,160,160.0,,,46938.0,265913.0,233546.0,527572.0,387578.0,,,1461547,OUI,HAUTE-GARONNE,MIDI-PYRENEES
32,Ministère de l'agriculture de l'alimentation et de la forêt,63370.0,148.0,148,148,148,148.0,,,14547.0,69488.0,31773.0,102287.0,40393.0,,,258488,OUI,PUY-DE-DOME,AUVERGNE
33,Ministère de l'agriculture de l'alimentation et de la forêt,33000.0,,60,60,60,60.0,,,,52717.0,19106.0,47794.0,16893.0,,,136510,OUI,GIRONDE,AQUITAINE
34,Ministère de l'agriculture de l'alimentation et de la forêt,25000.0,,42,42,42,42.0,,,,25023.0,6841.0,32248.0,9797.0,,,73909,OUI,DOUBS,FRANCHE-COMTE
35,Ministère de l'agriculture de l'alimentation et de la forêt,14070.0,,96,96,96,96.0,,,,75482.0,25703.0,83813.0,32228.0,,,217226,OUI,,BASSE-NORMANDIE
36,Ministère de l'agriculture de l'alimentation et de la forêt,86020.0,,48,48,48,48.0,,,,27267.0,13756.0,12915.0,4889.0,,,58827,OUI,,POITOU-CHARENTES
37,Ministère de l'agriculture de l'alimentation et de la forêt,75007.0,,144,144,144,144.0,,,,127856.0,32379.0,141904.0,37852.0,,,339991,OUI,PARIS,ILE-DE-FRANCE
38,Ministère de l'agriculture de l'alimentation et de la forêt,75015.0,,168,168,168,168.0,,,,125282.0,30469.0,122356.0,34015.0,,,312122,OUI,PARIS,ILE-DE-FRANCE
39,Ministère de l'agriculture de l'alimentation et de la forêt,21000.0,,42,42,42,42.0,,,,52453.0,13732.0,65152.0,18954.0,,,150291,OUI,COTE-D'OR,BOURGOGNE
40,Ministère de l'agriculture de l'alimentation et de la forêt,80090.0,,48,48,48,48.0,,,,29287.0,7824.0,32564.0,10293.0,,,79968,OUI,,PICARDIE
41,Ministère de l'agriculture de l'alimentation et de la forêt,57000.0,120.0,120,120,120,120.0,,,,80703.0,18014.0,39086.0,12175.0,,,149978,OUI,MOSELLE,LORRAINE
42,Ministère des Affaires étrangères et du Développement international,44000.0,168.0,168,168,168,168.0,0.0,0.0,21226.0,120806.0,67271.0,175583.0,85552.0,0.0,0.0,470438,OUI,LOIRE-ATLANTIQUE,PAYS DE LA LOIRE
43,Ministère des Affaires étrangères et du Développement international,44100.0,90.0,90,90,90,90.0,0.0,0.0,14680.0,75212.0,34743.0,98351.0,40334.0,0.0,0.0,263320,OUI,,PAYS DE LA LOIRE
44,Ministère des Affaires étrangères et du Développement international,92320.0,0.0,120,120,120,120.0,0.0,0.0,0.0,77696.0,23091.0,67238.0,19215.0,0.0,0.0,187240,OUI,HAUTS-DE-SEINE,ILE-DE-FRANCE
