,CHCE,CHCH,CHH (EJP),CHPE,CHPH,CODE POSTAL,CP,CP (EJP),Département,Electricité 100% verte (oui/non),HCE,HCH,HH (EJP),HPE,HPH,Ministère (Client),P,P (EJP),Région,TOTAL,Unnamed: 0,Unnamed: 0.1
0,81446.0,623544.0,,421114.0,203076.0,75001.0,251550.0,,PARIS,OUI,370.0,370.0,,370.0,370.0,Cour des Comptes,370.0,,ILE-DE-FRANCE,1580730,0,
1,55538.0,118733.0,,101281.0,183922.0,51000.0,53078.0,,MARNE,OUI,250.0,250.0,,250.0,250.0,Ministère de l'agriculture de l'alimentation et de la forêt,250.0,,CHAMPAGNE-ARDENNE,512552,1,
2,76738.0,227940.0,,126251.0,182755.0,35047.0,32932.0,,,OUI,420.0,420.0,,420.0,260.0,Ministère de l'agriculture de l'alimentation et de la forêt,260.0,,BRETAGNE,646616,2,
3,230791.0,181747.0,,515001.0,361404.0,75007.0,70310.0,,PARIS,OUI,400.0,400.0,,400.0,400.0,Ministère de l'agriculture de l'alimentation et de la forêt,400.0,,ILE-DE-FRANCE,1359253,3,
4,216507.0,156540.0,,430507.0,279655.0,75015.0,63166.0,,PARIS,OUI,400.0,400.0,,400.0,400.0,Ministère de l'agriculture de l'alimentation et de la forêt,400.0,,ILE-DE-FRANCE,1146375,4,
5,530479.0,398312.0,,736504.0,476171.0,44100.0,87259.0,,,OUI,630.0,630.0,,630.0,630.0,Ministère des affaires étrangères et du développement international,630.0,,PAYS DE LA LOIRE,2228725,5,
6,294368.0,207976.0,,735696.0,465794.0,44100.0,80628.0,,,OUI,480.0,480.0,,480.0,480.0,Ministère des affaires étrangères et du développement international,480.0,,PAYS DE LA LOIRE,1784462,6,
7,972026.0,923618.0,,1775750.0,1406573.0,75007.0,286744.0,,PARIS,OUI,960.0,960.0,,960.0,960.0,Ministère des affaires étrangères et du développement international,960.0,,ILE-DE-FRANCE,5364711,7,
8,610767.0,365300.0,,902395.0,492592.0,93120.0,87636.0,,SEINE-SAINT-DENIS,OUI,480.0,480.0,,480.0,480.0,Ministère des affaires étrangères et du développement international,480.0,,ILE-DE-FRANCE,2458690,8,
9,,,,,,75015.0,,,PARIS,OUI,,,,,,Ministère des affaires étrangères et du développement international,,,ILE-DE-FRANCE,4418000,9,
