Ministère (Client),CODE POSTAL,P,HPH,HCH,HPE,HCE,HH (EJP),P (EJP),CP,CHPH,CHCH,CHPE,CHCE,CHH (EJP),CP (EJP),TOTAL ,Electricité 100% verte (oui/non)
Cour des Comptes,75001.0,370.0,370.0,370.0,370.0,370.0,,,251550.0,203076.0,623544.0,421114.0,81446.0,,,1580730,OUI
Ministère de l'agriculture de l'alimentation et de la forêt,51000.0,250.0,250.0,250.0,250.0,250.0,,,53078.0,183922.0,118733.0,101281.0,55538.0,,,512552,OUI
Ministère de l'agriculture de l'alimentation et de la forêt,35047.0,260.0,260.0,420.0,420.0,420.0,,,32932.0,182755.0,227940.0,126251.0,76738.0,,,646616,OUI
Ministère de l'agriculture de l'alimentation et de la forêt,75007.0,400.0,400.0,400.0,400.0,400.0,,,70310.0,361404.0,181747.0,515001.0,230791.0,,,1359253,OUI
Ministère de l'agriculture de l'alimentation et de la forêt,75015.0,400.0,400.0,400.0,400.0,400.0,,,63166.0,279655.0,156540.0,430507.0,216507.0,,,1146375,OUI
Ministère des affaires étrangères et du développement international,44100.0,630.0,630.0,630.0,630.0,630.0,,,87259.0,476171.0,398312.0,736504.0,530479.0,,,2228725,OUI
Ministère des affaires étrangères et du développement international,44100.0,480.0,480.0,480.0,480.0,480.0,,,80628.0,465794.0,207976.0,735696.0,294368.0,,,1784462,OUI
Ministère des affaires étrangères et du développement international,75007.0,960.0,960.0,960.0,960.0,960.0,,,286744.0,1406573.0,923618.0,1775750.0,972026.0,,,5364711,OUI
Ministère des affaires étrangères et du développement international,93120.0,480.0,480.0,480.0,480.0,480.0,,,87636.0,492592.0,365300.0,902395.0,610767.0,,,2458690,OUI
Ministère des affaires étrangères et du développement international,75015.0,,,,,,,,,,,,,,,4418000,OUI
Ministères économiques et financiers,59800.0,580.0,580.0,580.0,580.0,580.0,,,91706.0,513724.00000000006,276555.0,732768.0,334296.0,,,1949049,OUI
Ministères économiques et financiers,59800.0,510.0,510.0,510.0,510.0,510.0,,,79229.0,419055.0,168868.0,548631.0,184271.0,,,1400054,NON
Ministères économiques et financiers,59200.0,380.0,380.0,380.0,380.0,380.0,,,57464.0,303632.0,145492.0,486849.0,194351.0,,,1187788,OUI
Ministères économiques et financiers,76100.0,700.0,700.0,700.0,700.0,700.0,,,69879.0,480019.0,180236.0,801437.0,246407.0,,,1777978,OUI
Ministères économiques et financiers,54036.0,510.0,565.0,565.0,565.0,565.0,,,68344.0,375264.0,337850.0,295575.0,134986.0,,,1212019,OUI
Ministères économiques et financiers,75002.0,400.0,400.0,400.0,400.0,400.0,,,66323.0,371219.0,263658.0,607666.0,369773.0,,,1678639,NON
Ministères économiques et financiers,75002.0,465.0,465.0,465.0,465.0,465.0,,,54421.0,309904.0,198065.0,567138.0,224637.0,,,1354165,OUI
Ministères économiques et financiers,75020.0,400.0,400.0,400.0,400.0,400.0,,,54554.0,277881.0,133550.0,351683.0,148913.0,,,966581,OUI
Ministères économiques et financiers,75019.0,400.0,400.0,400.0,400.0,400.0,,,24524.0,131328.0,67419.0,232727.0,115714.0,,,571712,OUI
Ministères économiques et financiers,45000.0,800.0,800.0,800.0,800.0,800.0,,,146580.0,770805.0,416752.0,1101929.0,521001.0,,,2957067,OUI
Ministères économiques et financiers,71000.0,520.0,600.0,600.0,710.0,710.0,,,69548.0,421293.0,110945.0,744313.0,103668.0,,,1449767,OUI
Ministères économiques et financiers,44200.0,390.0,390.0,390.0,490.0,490.0,,,67352.0,388554.0,246476.0,746662.0,442324.0,,,1891368,OUI
Ministères économiques et financiers,44200.0,400.0,400.0,510.0,510.0,510.0,,,58039.0,334214.0,141717.0,515806.00000000006,199055.0,,,1248831,OUI
Ministères économiques et financiers,44200.0,380.0,380.0,380.0,380.0,380.0,,,68761.0,396857.0,221093.0,589459.0,287431.0,,,1563601,OUI
Ministères économiques et financiers,44000.0,336.0,336.0,336.0,336.0,336.0,,,48380.0,272880.0,97512.0,382609.0,113760.0,,,915141,OUI
Ministères économiques et financiers,35000.0,240.0,271.0,271.0,271.0,271.0,,,24590.0,136112.0,34724.0,197123.0,45959.0,,,438508,OUI
Ministères économiques et financiers,17000.0,350.0,350.0,350.0,350.0,350.0,,,61788.0,320611.0,191688.0,425952.0,207583.0,,,1207622,OUI
Ministères économiques et financiers,33000.0,540.0,540.0,540.0,540.0,540.0,,,90263.0,485409.0,268181.0,733478.0,357120.0,,,1934451,OUI
Ministères économiques et financiers,24000.0,200.0,200.0,200.0,300.0,300.0,,,25170.0,129815.0,68386.0,262203.0,128648.0,,,614222,OUI
Ministères économiques et financiers,19011.0,400.0,400.0,400.0,400.0,400.0,,,65652.0,354539.0,160593.0,408464.0,167819.0,,,1157067,OUI
Ministères économiques et financiers,69002.0,370.0,370.0,370.0,370.0,370.0,,,63552.0,348524.0,148120.0,504867.0,184972.0,,,1250035,OUI
Ministères économiques et financiers,69003.0,2080.0,2550.0,2800.0,2800.0,2800.0,,,375836.0,2336154.0,1277963.0,2754214.0,1062335.0,,,7806502,OUI
Ministères économiques et financiers,78200.0,630.0,630.0,630.0,630.0,630.0,,,42890.0,199579.0,172057.0,223405.0,119228.0,,,757159,OUI
Ministères économiques et financiers,92240.0,1400.0,1400.0,1400.0,1500.0,1500.0,,,264837.0,1511515.0,892551.0,2622081.0,1332460.0,,,6623444,OUI
Ministères économiques et financiers,77000.0,540.0,540.0,700.0,700.0,700.0,,,96263.0,508495.0,296397.0,631393.0,296409.0,,,1828957,OUI
Ministères économiques et financiers,77186.0,1850.0,1850.0,1850.0,1850.0,1850.0,,,495853.0,2781654.0,2387050.0,4354913.0,3146665.0,,,13166135,NON
Ministères économiques et financiers,94000.0,600.0,600.0,600.0,640.0,640.0,,,91201.0,495380.0,252674.0,787985.0,348360.0,,,1975600,OUI
Ministères économiques et financiers,94200.0,1300.0,1300.0,2700.0,2700.0,2700.0,,,245898.0,1274684.0,733813.0,2036180.0,980338.0,,,5270913,OUI
Ministères économiques et financiers,94200.0,260.0,260.0,450.0,450.0,450.0,,,28033.0,155341.0,70285.0,243838.0,96561.0,,,594058,OUI
Ministères économiques et financiers,94300.0,520.0,520.0,520.0,520.0,520.0,,,58483.0,389410.0,218287.0,657463.0,326294.0,,,1649937,OUI
Ministères économiques et financiers,94417.0,320.0,320.0,320.0,320.0,320.0,,,33262.0,166567.0,58452.0,202659.0,95912.0,,,556852,OUI
Ministères économiques et financiers,93558.0,900.0,900.0,900.0,900.0,900.0,,,169740.0,896279.0,453250.0,1270810.0,522111.0,,,3312190,OUI
Ministères économiques et financiers,93160.0,2100.0,2100.0,2100.0,2100.0,2100.0,,,442948.0,2394347.0,1937014.0,2726498.0,1757827.0,,,9258634,OUI
Ministères économiques et financiers,93000.0,258.0,261.0,261.0,287.0,287.0,,,20604.0,108247.0,51962.0,182013.0,78139.0,,,440965,OUI
Ministères économiques et financiers,93500.0,543.0,543.0,543.0,543.0,543.0,,,84316.0,360360.0,306975.0,393257.0,190194.0,,,1335102,OUI
Ministères économiques et financiers,93500.0,574.0,574.0,574.0,574.0,574.0,,,81978.0,373499.0,354007.0,491753.0,215553.0,,,1516790,OUI
Ministères économiques et financiers,31000.0,320.0,340.0,340.0,370.0,370.0,,,39942.0,201992.0,136962.0,428654.0,214609.0,,,1022159,OUI
Ministères économiques et financiers,31000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,86740.0,455798.0,212162.0,625028.0,243557.0,,,1623285,OUI
Ministères économiques et financiers,31100.0,400.0,400.0,400.0,400.0,400.0,,,87152.0,503235.0,393623.0,837364.0,552638.0,,,2374012,OUI
Ministères économiques et financiers,34000.0,290.0,290.0,290.0,290.0,290.0,,,33048.0,150948.0,77669.0,315754.0,105646.0,,,683065,OUI
Ministères économiques et financiers,34000.0,152.0,253.0,253.0,253.0,253.0,,,22283.0,109474.0,72906.0,124379.0,56888.0,,,385930,OUI
Ministères économiques et financiers,13010.0,290.0,290.0,290.0,290.0,290.0,,,49026.0,279725.0,178562.0,494276.0,264573.0,,,1266162,OUI
Ministères économiques et financiers,13008.0,390.0,390.0,390.0,620.0,620.0,,,62705.0,350012.0,137315.0,726683.0,224869.0,,,1501584,OUI
Ministères économiques et financiers,13002.0,350.0,350.0,350.0,350.0,350.0,,,22887.0,123477.0,45673.0,209678.0,57952.0,,,459667,OUI
Ministères économiques et financiers,83000.0,598.0,598.0,598.0,598.0,598.0,,,36837.0,204835.0,67279.0,207431.0,79536.0,,,595918,OUI
Ministères économiques et financiers,6000.0,400.0,400.0,440.0,440.0,440.0,,,59577.0,293808.0,163212.0,284687.0,127383.0,,,928667,OUI
Ministères économiques et financiers,6000.0,250.0,250.0,250.0,250.0,250.0,,,22489.0,129436.0,57582.0,226731.0,96754.0,,,532992,OUI
Ministères économiques et financiers,84000.0,340.0,340.0,340.0,340.0,340.0,,,48438.0,257779.0,108630.0,388408.0,140781.0,,,944036,OUI
Ministères économiques et financiers,51100.0,247.0,247.0,247.0,300.0,300.0,,,39998.0,221959.0,134743.0,399265.0,215235.0,,,1011200,OUI
Ministères économiques et financiers,37200.0,240.0,262.0,262.0,282.0,282.0,,,47751.0,285597.0,213839.0,491472.0,318762.0,,,1357421,OUI
Ministères économiques et financiers,35000.0,410.0,410.0,410.0,410.0,410.0,,,28838.0,185258.0,80319.0,330827.0,113942.0,,,739184,OUI
Ministères économiques et financiers,86000.0,310.0,310.0,310.0,310.0,310.0,,,57717.0,342195.0,228715.0,579341.0,337449.0,,,1545417,OUI
Ministères économiques et financiers,63000.0,290.0,290.0,290.0,330.0,330.0,,,40859.0,253511.0,148823.0,423675.0,216193.0,,,1083061,OUI
Ministères économiques et financiers,63400.0,260.0,260.0,260.0,260.0,260.0,,,30910.0,170343.0,45767.0,222886.0,56713.0,,,526619,OUI
Ministères économiques et financiers,69008.0,340.0,340.0,340.0,340.0,340.0,,,68630.0,415852.0,329588.0,694082.0,473562.0,,,1981714,OUI
Ministères économiques et financiers,69003.0,330.0,330.0,330.0,330.0,330.0,,,84882.0,522960.0,435518.0,845986.0,607797.0,,,2497143,OUI
Ministères économiques et financiers,69330.0,600.0,600.0,600.0,600.0,600.0,,,106536.0,605943.0,349214.0,966982.0,422474.0,,,2451149,OUI
Ministères économiques et financiers,78000.0,410.0,440.0,440.0,440.0,440.0,,,32048.0,198967.0,119546.0,252289.0,133673.0,,,736523,OUI
Ministères économiques et financiers,78100.0,370.0,370.0,370.0,370.0,370.0,,,27497.0,154129.0,72418.0,244896.0,95973.0,,,594913,OUI
Ministères économiques et financiers,95000.0,215.0,215.0,215.0,286.0,286.0,,,27807.0,153696.0,51683.0,228450.0,67486.0,,,529122,OUI
Ministères économiques et financiers,77186.0,260.0,260.0,260.0,260.0,260.0,,,42354.0,240289.0,117991.0,258251.0,96808.0,,,755693,OUI
Ministères économiques et financiers,77140.0,505.0,505.0,505.0,505.0,505.0,,,92506.0,538959.0,381153.0,847775.0,495199.0,,,2355592,OUI
Ministères économiques et financiers,77600.0,2500.0,2500.0,2500.0,2500.0,2500.0,,,406223.0,2503769.0,2159781.0,3948428.0,2918779.0,,,11936980,OUI
Ministères économiques et financiers,93500.0,409.0,409.0,409.0,409.0,409.0,,,45329.0,254447.0,132149.0,221866.0,69341.0,,,723132,OUI
Ministères économiques et financiers,13008.0,200.0,200.0,200.0,260.0,260.0,,,31354.0,172889.0,77315.0,256313.0,113528.0,,,651399,OUI
Ministères économiques et financiers,13008.0,300.0,300.0,300.0,300.0,300.0,,,35452.0,230266.0,170598.0,370262.0,247466.0,,,1054044,OUI
Ministères économiques et financiers,95520.0,,,,600.0,600.0,600.0,10.0,,,,1198412.0,837225.0,1254946.0,3951.0,3294534,
Ministères économiques et financiers,75013.0,,,,1300.0,1300.0,1050.0,,,,,2010815.0,826128.0,1772767.0,,4609710,
Ministères économiques et financiers,75009.0,430.0,430.0,430.0,430.0,430.0,,,55732.0,311336.0,148670.0,465538.0,187969.0,,,1169245,OUI
Ministères économiques et financiers,35000.0,362.0,408.0,408.0,408.0,408.0,,,89714.0,481242.0,385181.0,785571.0,524222.99999999994,,,2265931,OUI
Ministères économiques et financiers,69600.0,178.0,250.0,250.0,286.0,286.0,,,26627.0,149869.0,97249.0,258940.0,129400.0,,,662085,OUI
Ministères économiques et financiers,93100.0,990.0,1023.0,1023.0,1023.0,1023.0,,,148854.0,752603.0,319059.0,1170530.0,463151.0,,,2854197,OUI
