CODE POSTAL,Département,Région
59287,NORD,NORD-PAS-DE-CALAIS
88210,VOSGES,LORRAINE
57170,MOSELLE,LORRAINE
54630,MEURTHE-ET-MOSELLE,LORRAINE
35190,ILLE-ET-VILAINE,BRETAGNE
21310,COTE-D'OR,BOURGOGNE
33350,GIRONDE,AQUITAINE
25640,DOUBS,FRANCHE-COMTE
47180,LOT-ET-GARONNE,AQUITAINE
39140,JURA,FRANCHE-COMTE
51140,MARNE,CHAMPAGNE-ARDENNE
25380,DOUBS,FRANCHE-COMTE
14190,CALVADOS,BASSE-NORMANDIE
21190,COTE-D'OR,BOURGOGNE
61120,ORNE,BASSE-NORMANDIE
63550,PUY-DE-DOME,AUVERGNE
31220,HAUTE-GARONNE,MIDI-PYRENEES
26150,DROME,RHONE-ALPES
27150,EURE,HAUTE-NORMANDIE
42940,LOIRE,RHONE-ALPES
73570,SAVOIE,RHONE-ALPES
69660,RHONE,RHONE-ALPES
46330,LOT,MIDI-PYRENEES
61360,ORNE,BASSE-NORMANDIE
20116,CORSE-DU-SUD,CORSE
68290,HAUT-RHIN,ALSACE
42660,LOIRE,RHONE-ALPES
27850,EURE,HAUTE-NORMANDIE
74270,HAUTE-SAVOIE,RHONE-ALPES
54450,MEURTHE-ET-MOSELLE,LORRAINE
76680,SEINE-MARITIME,HAUTE-NORMANDIE
41800,LOIR-ET-CHER,CENTRE
71390,SAONE-ET-LOIRE,BOURGOGNE
58440,NIEVRE,BOURGOGNE
10160,AUBE,CHAMPAGNE-ARDENNE
28130,EURE-ET-LOIR,CENTRE
31430,HAUTE-GARONNE,MIDI-PYRENEES
51130,MARNE,CHAMPAGNE-ARDENNE
57070,MOSELLE,LORRAINE
65350,HAUTES-PYRENEES,MIDI-PYRENEES
18400,CHER,CENTRE
72400,SARTHE,PAYS DE LA LOIRE
14113,CALVADOS,BASSE-NORMANDIE
17220,CHARENTE-MARITIME,POITOU-CHARENTES
41230,LOIR-ET-CHER,CENTRE
79150,DEUX-SEVRES,POITOU-CHARENTES
76590,SEINE-MARITIME,HAUTE-NORMANDIE
28120,EURE-ET-LOIR,CENTRE
14430,CALVADOS,BASSE-NORMANDIE
22350,COTES-D'ARMOR,BRETAGNE
62870,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
15130,CANTAL,AUVERGNE
73410,SAVOIE,RHONE-ALPES
27380,EURE,HAUTE-NORMANDIE
25720,DOUBS,FRANCHE-COMTE
11420,AUDE,LANGUEDOC-ROUSSILLON
65100,HAUTES-PYRENEES,MIDI-PYRENEES
21460,COTE-D'OR,BOURGOGNE
5560,HAUTES-ALPES,PROVENCE-ALPES-COTE D'AZUR
64330,PYRENEES-ATLANTIQUES,AQUITAINE
42460,LOIRE,RHONE-ALPES
15340,CANTAL,AUVERGNE
39270,JURA,FRANCHE-COMTE
52110,HAUTE-MARNE,CHAMPAGNE-ARDENNE
1470,AIN,RHONE-ALPES
33160,GIRONDE,AQUITAINE
6470,ALPES-MARITIMES,PROVENCE-ALPES-COTE D'AZUR
21310,COTE-D'OR,BOURGOGNE
67120,BAS-RHIN,ALSACE
91370,ESSONNE,ILE-DE-FRANCE
76440,SEINE-MARITIME,HAUTE-NORMANDIE
35210,ILLE-ET-VILAINE,BRETAGNE
33650,GIRONDE,AQUITAINE
77126,SEINE-ET-MARNE,ILE-DE-FRANCE
62500,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
8260,ARDENNES,CHAMPAGNE-ARDENNE
21190,COTE-D'OR,BOURGOGNE
14330,CALVADOS,BASSE-NORMANDIE
62170,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
39250,JURA,FRANCHE-COMTE
16330,CHARENTE,POITOU-CHARENTES
60128,OISE,PICARDIE
88500,VOSGES,LORRAINE
38090,ISERE,RHONE-ALPES
46800,LOT,MIDI-PYRENEES
18140,CHER,CENTRE
58290,NIEVRE,BOURGOGNE
50200,MANCHE,BASSE-NORMANDIE
46300,LOT,MIDI-PYRENEES
60400,OISE,PICARDIE
24560,DORDOGNE,AQUITAINE
60400,OISE,PICARDIE
86530,VIENNE,POITOU-CHARENTES
34400,HERAULT,LANGUEDOC-ROUSSILLON
52700,HAUTE-MARNE,CHAMPAGNE-ARDENNE
4200,ALPES-DE-HAUTE-PROVENCE,PROVENCE-ALPES-COTE D'AZUR
17130,CHARENTE-MARITIME,POITOU-CHARENTES
50720,MANCHE,BASSE-NORMANDIE
60660,OISE,PICARDIE
14220,CALVADOS,BASSE-NORMANDIE
11500,AUDE,LANGUEDOC-ROUSSILLON
43150,HAUTE-LOIRE,AUVERGNE
81170,TARN,MIDI-PYRENEES
91730,ESSONNE,ILE-DE-FRANCE
55130,MEUSE,LORRAINE
54370,MEURTHE-ET-MOSELLE,LORRAINE
11400,AUDE,LANGUEDOC-ROUSSILLON
32400,GERS,MIDI-PYRENEES
63490,PUY-DE-DOME,AUVERGNE
41500,LOIR-ET-CHER,CENTRE
60170,OISE,PICARDIE
22480,COTES-D'ARMOR,BRETAGNE
47600,LOT-ET-GARONNE,AQUITAINE
52700,HAUTE-MARNE,CHAMPAGNE-ARDENNE
26240,DROME,RHONE-ALPES
24410,DORDOGNE,AQUITAINE
5260,HAUTES-ALPES,PROVENCE-ALPES-COTE D'AZUR
8300,ARDENNES,CHAMPAGNE-ARDENNE
3150,ALLIER,AUVERGNE
57320,MOSELLE,LORRAINE
71420,SAONE-ET-LOIRE,BOURGOGNE
80132,SOMME,PICARDIE
54135,MEURTHE-ET-MOSELLE,LORRAINE
45300,LOIRET,CENTRE
69360,RHONE,RHONE-ALPES
31700,HAUTE-GARONNE,MIDI-PYRENEES
73460,SAVOIE,RHONE-ALPES
1500,AIN,RHONE-ALPES
35330,ILLE-ET-VILAINE,BRETAGNE
18200,CHER,CENTRE
42130,LOIRE,RHONE-ALPES
66220,PYRENEES-ORIENTALES,LANGUEDOC-ROUSSILLON
30200,GARD,LANGUEDOC-ROUSSILLON
51300,MARNE,CHAMPAGNE-ARDENNE
26230,DROME,RHONE-ALPES
50420,MANCHE,BASSE-NORMANDIE
9500,ARIEGE,MIDI-PYRENEES
51260,MARNE,CHAMPAGNE-ARDENNE
55120,MEUSE,LORRAINE
74290,HAUTE-SAVOIE,RHONE-ALPES
76890,SEINE-MARITIME,HAUTE-NORMANDIE
53210,MAYENNE,PAYS DE LA LOIRE
43260,HAUTE-LOIRE,AUVERGNE
13620,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR
16250,CHARENTE,POITOU-CHARENTES
21610,COTE-D'OR,BOURGOGNE
70130,HAUTE-SAONE,FRANCHE-COMTE
67270,BAS-RHIN,ALSACE
16340,CHARENTE,POITOU-CHARENTES
77400,SEINE-ET-MARNE,ILE-DE-FRANCE
65200,HAUTES-PYRENEES,MIDI-PYRENEES
15340,CANTAL,AUVERGNE
52100,HAUTE-MARNE,CHAMPAGNE-ARDENNE
24320,DORDOGNE,AQUITAINE
41240,LOIR-ET-CHER,CENTRE
57260,MOSELLE,LORRAINE
28330,EURE-ET-LOIR,CENTRE
14100,CALVADOS,BASSE-NORMANDIE
64250,PYRENEES-ATLANTIQUES,AQUITAINE
72440,SARTHE,PAYS DE LA LOIRE
9240,ARIEGE,MIDI-PYRENEES
38113,ISERE,RHONE-ALPES
56360,MORBIHAN,BRETAGNE
68610,HAUT-RHIN,ALSACE
31230,HAUTE-GARONNE,MIDI-PYRENEES
64400,PYRENEES-ATLANTIQUES,AQUITAINE
5150,HAUTES-ALPES,PROVENCE-ALPES-COTE D'AZUR
8380,ARDENNES,CHAMPAGNE-ARDENNE
94110,VAL-DE-MARNE,ILE-DE-FRANCE
